SKU,ItemTitle,ItemDescription,ItemBulletPoint,ItemDescription_2,Manufacturer,MfrPartNum,SellUOM,ItemPrice,ItemFactTag,Segment,Segment Name,Category,Category Name,Class,Class Name,Sub-Class,Sub-Class Name
29932,,Get a daily dose of your team all year round,<ul><li>Each page features full-color action shots of your favorite athletes.</li> <li>Scaled-down size is perfect for your dorm room or office cubicle. Measures 14” tall when opened.</li> <li>Finish off 2015 with this exclusive design! Includes 4 bonus months — September to December 2015.</li></ul>,,PERFECT TIMING INC,21998040527,EA,9.9,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
29787,"Sellers Publishing Daily Desk Boxed Calendar, 5-1/4"" x 5-15/16"", Cookies And Cupcakes, January to December 2022, CB1373","Grab one of these Sellers Publishing Daily Desktop Boxed Calendars and make sure you can check your schedule at a glance. The desk calendar is designed with pages that can be torn off after the day is through, helping you get ready for what lies ahead, an","<ul><li>12 months: January to December.</li> <li>Tear-off pages for easy disposal.</li> <li>Fully-adjustable easel allows simple viewing.</li> <li>Made from high-quality paper.</li> <li>Offers all major U.S., Canadian, UK, Australian and New Zealand holidays as well as moon phases.</li></ul>",,"SELLERS PUBLISHING, INC.",CB1373,EA,,"* Cookies And Cupcakes design 5-1/4"" x 5-15/16""",SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_331000,Desk Calendars,SUB_331002,Calendars - Desk
31837,"TF Publishing Humor Wall Calendar, 12"" x 12"", Presidential Wit, January To December 2022","Brighten up your office with the addition of a TF Publishing Humor Wall Calendar. Monthly spreads have large daily blocks for jotting down events, appointments and reminders to help you stay on track.",<ul><li>1 page per month.</li> <li>Spreads include large daily blocks for flexible planning.</li> <li>Special pages include a 4-month overview of the upcoming year.</li> <li>12 months: January to December.</li> <li>Pages are securely saddle-stitched.</li></ul>,,"THE TIME FACTORY, INC.",22-1171,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
27969,"ComplyRight Payroll/Status Change Notices, 3-Part, 8 1/2"" x 11"", Pack Of 50","These easy-to-use notices help you document job and salary changes. Great for use with transfers, promotions and new hires.","<ul><li>Use to record and document job and salary changes. Provides a written record of what was changed and the reason behind it.</li> <li>Simple way to track transfers, promotions, new hires, leave of absences and separation details.</li> <li>Developed by attorneys to ensure compliance with applicable laws.</li> <li>3-part design provides a copy for the employee and for recordkeeping.</li></ul>",,"TAX FORMS PRINTING, INC.",A2168,EA,76.24,* Document job and salary changes * Create a written record of changes and the reason for them * Use for promotions and new hires * 50-pack FORAY pens Printers File cabinets,SEG_300000,"Dated, Forms & Record Keeping",CAT_320000,Business & Tax Forms,CLS_321000,Forms - Business,SUB_321003,Forms - Employment
32617,"Blue Sky™ Monthly Laminated Calendar, 24"" x 36"", Baccara Dark, January To December 2022, 116053","Keep your plans up to date thanks to the Blue Sky Monthly Laminated Calendar. Use a dry-erase marker to write in appointments, events and due dates that can be erased if plans change.",<ul><li>View all 12 months in a single glance.</li> <li>Double-sided design shows vertical and horizontal views.</li> <li>Large daily blocks offer ample planning space.</li> <li>12 months: January to December.</li> <li>Laminated design is erasable when using dry-erase markers.</li> <li>Stylish Baccara Dark design.</li></ul>,,BLUE SKY THE COLOR OF IMAGINATION LLC,116053-22,EA,19.22,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332002,"Calendars - Wall, Erasable"
32755,"JAM Paper® Plastic Clipboards with Metal Clip, 9"" x 13"", Pink, Pack Of 12","Made of sturdy plastic, this clipboard makes it easy to write down notes and information while on the go. The standard clip offers a sure grip on most letter-size forms and documents.","<ul><li>Standard clip provides a secure hold on letter-size papers.</li> <li>Made of tough, see-through plastic that acts as a convenient writing surface when you're on the move.</li> <li>Nonskid base helps reduce unwanted movement while writing.</li></ul>",,SEAGATE TECHNOLOGY LLC,340926883A,PK,69.27,* Rugged plastic construction * Standard clip and nonskid base * Holds letter-size papers FORAY pens Binder clips Portfolios,SEG_300000,"Dated, Forms & Record Keeping",CAT_340000,Record Keeping,CLS_342000,Form Holders,SUB_342001,Clipboards
29314,,,<ul></ul>,,PERFECT TIMING INC,21998051429,EA,15.58,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_331000,Desk Calendars,SUB_331002,Calendars - Desk
29953,,Get a daily dose of your team all year round,<ul><li>Each page features full-color action shots of your favorite athletes.</li> <li>Scaled-down size is perfect for your dorm room or office cubicle. Measures 14” tall when opened.</li> <li>Finish off 2015 with this exclusive design! Includes 4 bonus months — September to December 2015.</li></ul>,,PERFECT TIMING INC,21998040566,EA,10,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
30279,"Willow Creek Press Inspirational Monthly Wall Calendar, 12"" x 12"", Life's A Beach, January To December 2022","12 high-quality, full-color images make these Wall Calendars the best around.","<ul><li>1 page per month. Grids provide ample space to write important information.</li> <li>12 months: January to December. Holidays, observances and moon phases are marked.</li> <li>Made with high-quality paper.</li> <li>Offers 6 bonus months to help you prepare for all you have coming up.</li> <li>Protective shrinkwrap</li> <li>Beautiful inspirational design.</li></ul>",,WILLOW CREEK PRESS,18460,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332001,Calendars - Wall
28527,"ComplyRight™ 1098-E Tax Forms, 3-Up, Recipient Copy C and/or State Copy, Laser, 8-1/2"" x 11"", Pack Of 150 Forms","When you need to report important information to the government, you need the right forms. These acid-free sheets are laser cut to help prevent paper jams and help you report interest paid on student loans.",<ul><li>Report student loan interest paid over the year.</li> <li>Laser cut to reduce the risk of jamming.</li> <li>Acid free for archival use.</li> <li>Compatible with laser printers.</li></ul>,,"TAX FORMS PRINTING, INC.",51875020,EA,9.02,,SEG_300000,"Dated, Forms & Record Keeping",CAT_320000,Business & Tax Forms,CLS_326000,Forms - Tax Preparation,SUB_326001,Forms - Tax
27993,"ComplyRight™ Voluntary Self-Identification Of Disability Forms, 8-1/2"" x 11"", Pack Of 50 Forms",Discover the effectiveness of outreach and recruitment efforts with help from ComplyRight Voluntary Self-Identification Of Disability Forms. Each form is printed on acid-free paper.,<ul><li>Designed to allow employees to self-identify as individuals with disabilities.</li> <li>Federal contractors are required to use this form to provide all applicants and employees an opportunity to voluntarily self-identify as individuals with disabilities in compliance with Section 503 of the Rehabilitation Act of 1973.</li> <li>Assess the effectiveness of outreach and recruitment processes.</li></ul>,,"TAX FORMS PRINTING, INC.",A0109PK50,EA,46.94,,SEG_300000,"Dated, Forms & Record Keeping",CAT_320000,Business & Tax Forms,CLS_321000,Forms - Business,SUB_321003,Forms - Employment
29035,"Willow Creek Press Page-A-Day Daily Desk Calendar, 5-1/2"" x 6-1/4"", Daily Fishing Tip, January To December 2022","Make sure you stay on track throughout your busy week with help from this calendar. The full-color photos add a fun and exciting look, and the calendar is designed with a page for each day, making it easy to plan everything.",<ul><li>1 page per day. Notes section helps you jot down reminders.</li> <li>12 months: January to December.</li> <li>Each of the 314 pages can be torn off when the day is through.</li> <li>Features a pop-up calendar stand.</li> <li>Sleek design.</li></ul>,,WILLOW CREEK PRESS,20562,EA,,,SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_331000,Desk Calendars,SUB_331002,Calendars - Desk
32598,"Blue Sky™ Laminated Wall Calendar, 36"" x 24"", Passages, July 2021 To June 2022, 135716","Plan your year in advance with the Blue Sky Laminated Wall Calendar. Large daily blocks are ideal for flexible scheduling, while the dual-sided design allows you to choose a vertical or horizontal orientation to suit your space.",<ul><li>Planning and organizing helps you save time to get more done.</li> <li>A full-year view in 1 glance.</li> <li>Dual design features a horizontal and vertical orientation.</li> <li>12 months: July to June.</li> <li>Compatible with dry-erase markers.</li> <li>Can be erased with a cloth or tissue.</li> <li>Rolls up for easy transport.</li> <li>Stylish Passages print.</li></ul>,,BLUE SKY THE COLOR OF IMAGINATION LLC,135716,EA,20.7,"* Keeps you up to date 36"" x 24"" Passages July 2021 To June 2022",SEG_300000,"Dated, Forms & Record Keeping",CAT_330000,Calendars,CLS_332000,Wall Calendars,SUB_332002,"Calendars - Wall, Erasable"
